Nando's Canberra,"Canberra Centre, North Quarter, 125 Bunda St, Canberra, ACT, 2601",02 6247 4044
Turkish Halal Pide House,"Shop 1 47 Novar Street, Yarralumla, ACT, 2600",02 6281 1991
